symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality,delta,theta_cost,iv_crush
CRWD,2020-01-09,2020-01-10,55.939998626708984,57.20000076293945,0.4767012392083696,-425.2221906641749,-15.945832149906556,Stop Loss,1,trend,3,0.6950000000000001,0.8390999794006347,8.390999794006348
NVDA,2020-01-03,2020-01-15,5.8758320808410645,6.112288475036621,2.2691821600566904,-221.94441939994962,-16.645831454996234,Stop Loss,12,trend,1,0.5900000000000001,1.0576497745513915,0.0
TSLA,2020-01-08,2020-01-15,32.80933380126953,34.56666564941406,0.8127768405231934,-598.1144509929537,-22.429291912235765,Stop Loss,7,breakout,3,0.765,3.4449800491333007,4.92140007019043
DDOG,2020-01-09,2020-01-15,40.209999084472656,40.22999954223633,0.3315924804007788,-332.92546524729437,-24.969409893547077,Stop Loss,6,trend,1,0.62,3.6188999176025387,6.031499862670898
RIOT,2020-01-14,2020-01-15,1.4199999570846558,1.399999976158142,17.98080394123092,-471.63645021056357,-18.47183008847596,Stop Loss,1,trend,3,0.6950000000000001,0.021299999356269837,0.21299999356269836
RIOT,2020-01-15,2020-01-16,1.399999976158142,1.4299999475479126,15.14315649309606,-339.66102371612095,-16.02142995632427,Stop Loss,1,trend,3,0.6950000000000001,0.02099999964237213,0.2099999964237213
NVDA,2020-01-15,2020-01-16,6.112288475036621,6.195919513702393,1.7342455952364444,-176.22131121372357,-16.624323647931664,Stop Loss,1,trend,1,0.645,0.09168432712554932,0.9168432712554931
DDOG,2020-01-15,2020-01-16,40.22999954223633,40.61000061035156,0.26349016866176905,-179.0955649674405,-16.895474306833087,Stop Loss,1,trend,1,0.645,0.6034499931335449,6.034499931335449
SMCI,2020-01-03,2020-01-21,2.3440001010894775,2.8589999675750732,5.688281893476059,-253.45341410677764,-19.009006058008335,Stop Loss,18,trend,1,0.66,0.7594560327529906,0.0
MDB,2020-01-09,2020-01-21,149.9600067138672,148.67999267578125,0.17782518986911142,-521.1204566158842,-19.542017123095672,Stop Loss,12,breakout,3,0.6400000000000001,26.992801208496093,0.0
AMD,2020-01-14,2020-01-21,48.209999084472656,51.04999923706055,0.2648075223996327,-284.91302424434787,-22.317464952023116,Stop Loss,7,trend,1,0.715,5.062049903869629,7.231499862670898
