date,equity,positions,cummax,drawdown
2019-01-02,20000.0,0,20000.0,0.0
2019-01-03,20000.0,0,20000.0,0.0
2019-01-04,20000.0,0,20000.0,0.0
2019-01-07,20000.0,0,20000.0,0.0
2019-01-08,20000.0,0,20000.0,0.0
2019-01-09,20000.0,0,20000.0,0.0
2019-01-10,20000.0,0,20000.0,0.0
2019-01-11,20000.0,0,20000.0,0.0
2019-01-14,20000.0,0,20000.0,0.0
2019-01-15,20000.0,0,20000.0,0.0
2019-01-16,20000.0,0,20000.0,0.0
2019-01-17,20000.0,0,20000.0,0.0
2019-01-18,20000.0,0,20000.0,0.0
2019-01-22,20000.0,0,20000.0,0.0
2019-01-23,20000.0,0,20000.0,0.0
2019-01-24,20000.0,0,20000.0,0.0
2019-01-25,20000.0,0,20000.0,0.0
2019-01-28,20000.0,0,20000.0,0.0
2019-01-29,20000.0,0,20000.0,0.0
2019-01-30,20000.0,0,20000.0,0.0
2019-01-31,20000.0,0,20000.0,0.0
2019-02-01,20000.0,0,20000.0,0.0
2019-02-04,20000.0,0,20000.0,0.0
2019-02-05,20000.0,0,20000.0,0.0
2019-02-06,20000.0,0,20000.0,0.0
2019-02-07,20000.0,0,20000.0,0.0
2019-02-08,20000.0,0,20000.0,0.0
2019-02-11,20000.0,0,20000.0,0.0
2019-02-12,20000.0,0,20000.0,0.0
2019-02-13,20000.0,0,20000.0,0.0
2019-02-14,20000.0,0,20000.0,0.0
2019-02-15,20000.0,0,20000.0,0.0
2019-02-19,20000.0,0,20000.0,0.0
2019-02-20,20000.0,0,20000.0,0.0
2019-02-21,20000.0,0,20000.0,0.0
2019-02-22,20000.0,0,20000.0,0.0
2019-02-25,20000.0,0,20000.0,0.0
2019-02-26,20000.0,0,20000.0,0.0
2019-02-27,20000.0,0,20000.0,0.0
2019-02-28,20000.0,0,20000.0,0.0
2019-03-01,20000.0,0,20000.0,0.0
2019-03-04,20000.0,0,20000.0,0.0
2019-03-05,20000.0,0,20000.0,0.0
2019-03-06,20000.0,0,20000.0,0.0
