date,equity,cash,positions,peak,drawdown
2020-10-16,10000.0,10000.0,0,10000.0,0.0
2020-10-19,10000.0,10000.0,0,10000.0,0.0
2020-10-20,10000.0,10000.0,0,10000.0,0.0
2020-10-21,10000.0,5676.750071048735,3,10000.0,0.0
2020-10-22,10074.818123832021,5676.750071048735,3,10074.818123832021,0.0
2020-10-23,9939.184332840654,5676.750071048735,3,10074.818123832021,-1.3462654047374318
2020-10-26,9755.994712818741,5676.750071048735,3,10074.818123832021,-3.164557484755996
2020-10-27,9860.155863431035,5676.750071048735,3,10074.818123832021,-2.130681246673842
2020-10-28,9302.874561881881,5676.750071048735,3,10074.818123832021,-7.662109156334093
2020-10-29,9300.156541033572,5676.750071048735,3,10074.818123832021,-7.689087517778457
2020-10-30,9407.46379319893,5676.750071048735,3,10074.818123832021,-6.623983901550172
2020-11-02,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-03,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-04,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-05,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-06,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-09,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-10,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-11,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-12,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-13,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-16,9244.187763334468,9244.187763334468,0,10074.818123832021,-8.244618913096739
2020-11-17,9244.187763334468,7601.237753034786,1,10074.818123832021,-8.244618913096739
2020-11-18,9061.404621310676,6323.477781416133,2,10074.818123832021,-10.058876399208755
2020-11-19,9230.08297875973,6323.477781416133,2,10074.818123832021,-8.384619302199278
2020-11-20,9241.92639740822,6323.477781416133,2,10074.818123832021,-8.267064637659235
2020-11-23,9295.383257000989,5191.877763868526,3,10074.818123832021,-7.7364658820716175
2020-11-24,9342.808821143171,5191.877763868526,3,10074.818123832021,-7.265732181877101
2020-11-25,9618.410693478665,5191.877763868526,3,10074.818123832021,-4.530180344136661
2020-11-27,9260.898170817378,6782.33802010136,2,10074.818123832021,-8.078755794998548
2020-11-30,9792.555110663949,5831.621621218177,3,10074.818123832021,-2.801668573057198
2020-12-01,9535.788515612414,5831.621621218177,3,10074.818123832021,-5.3502663928446585
2020-12-02,9617.989628686133,5831.621621218177,3,10074.818123832021,-4.534359722735426
2020-12-03,9559.583714558667,6956.58801784729,2,10074.818123832021,-5.1140814944794455
2020-12-04,9686.813946642302,6956.58801784729,2,10074.818123832021,-3.8512276094780717
2020-12-07,9740.619029086418,6956.58801784729,2,10074.818123832021,-3.31717248527846
2020-12-08,9426.156568839124,6956.58801784729,2,10074.818123832021,-6.438444317505702
2020-12-09,9306.537250660967,6956.58801784729,2,10074.818123832021,-7.625754268989556
2020-12-10,9415.333123276405,9415.333123276405,0,10074.818123832021,-6.545874996945127
2020-12-11,9415.333123276405,9415.333123276405,0,10074.818123832021,-6.545874996945127
2020-12-14,9415.333123276405,9415.333123276405,0,10074.818123832021,-6.545874996945127
2020-12-15,9415.333123276405,9415.333123276405,0,10074.818123832021,-6.545874996945127
2020-12-16,9415.333123276405,9415.333123276405,0,10074.818123832021,-6.545874996945127
2020-12-17,9415.333123276405,7805.433077881507,1,10074.818123832021,-6.545874996945127
2020-12-18,9388.339911086656,5488.766360352209,2,10074.818123832021,-6.8138025352685885
2020-12-21,9510.601910550424,5488.766360352209,2,10074.818123832021,-5.600262023062648
2020-12-22,9775.823580985412,4610.066332886388,3,10074.818123832021,-2.9677413445244856
2020-12-23,9346.834661487846,4610.066332886388,3,10074.818123832021,-7.225772747421883
2020-12-24,9343.807751917018,4610.066332886388,3,10074.818123832021,-7.2558170572409155
2020-12-28,9471.571020735133,8568.347196133996,1,10074.818123832021,-5.987672389538277
2020-12-29,9401.090643095697,8568.347196133996,1,10074.818123832021,-6.687242116486646
2020-12-30,9529.808400633508,8568.347196133996,1,10074.818123832021,-5.409623444311022
2020-12-31,9513.665566523172,8568.347196133996,1,10074.818123832021,-5.569852978104297
2021-01-04,9461.148627500006,9461.148627500006,0,10074.818123832021,-6.091122328852543
