entry_date,exit_date,symbol,strategy,quality,strength,contracts,strike,expiration,stock_entry,stock_exit,entry_premium,exit_premium,cost,proceeds,pnl,return_pct,days_held,exit_reason
2020-10-21,2020-11-02,MSTR,EXPLOSIVE_BREAKOUT,3,10,9,17.2,2020-11-20,18.1,16.66,1.81,1.64,1629.45,1456.93,-172.52,-10.59,12,TIME_EXIT
2020-10-21,2020-11-02,RIOT,EXPLOSIVE_BREAKOUT,3,10,37,3.78,2020-11-20,3.98,3.29,0.4,0.34,1472.6,1231.55,-241.05,-16.37,12,TIME_EXIT
2020-10-21,2020-11-02,MARA,EXPLOSIVE_BREAKOUT,3,10,43,2.7,2020-11-20,2.84,2.1,0.28,0.21,1221.2,878.96,-342.24,-28.03,12,TIME_EXIT
2020-11-17,2020-11-27,RIOT,EXPLOSIVE_BREAKOUT,3,10,27,5.78,2020-12-17,6.09,6.25,0.61,0.6,1642.95,1590.46,-52.49,-3.19,10,TIME_EXIT
2020-11-18,2020-11-30,MSTR,MOMENTUM_ACCEL,3,9,6,20.23,2020-12-18,21.3,34.28,2.13,2.86,1277.76,1687.86,410.1,32.1,12,TIME_EXIT
2020-11-23,2020-12-03,MARA,EXPLOSIVE_BREAKOUT,3,10,23,4.67,2020-12-23,4.92,5.91,0.49,0.5,1131.6,1124.97,-6.63,-0.59,10,TIME_EXIT
2020-11-30,2020-12-10,MSTR,EXPLOSIVE_BREAKOUT,3,10,4,32.56,2020-12-30,34.28,29.03,3.43,2.96,1371.08,1167.67,-203.41,-14.84,10,TIME_EXIT
2020-11-30,2020-12-10,RIOT,EXPLOSIVE_BREAKOUT,3,10,15,8.03,2020-12-30,8.45,9.34,0.84,0.87,1267.5,1291.08,23.58,1.86,10,TIME_EXIT
2020-12-17,2020-12-28,MARA,EXPLOSIVE_BREAKOUT,3,10,17,9.0,2021-01-16,9.47,12.25,0.95,1.09,1609.9,1823.69,213.79,13.28,11,TIME_EXIT
2020-12-18,2020-12-28,TSLA,EXPLOSIVE_BREAKOUT,3,10,1,220.08,2021-01-17,231.67,221.23,23.17,21.67,2316.67,2134.59,-182.08,-7.86,10,TIME_EXIT
2020-12-22,2021-01-04,RIOT,EXPLOSIVE_BREAKOUT,3,10,6,13.91,2021-01-21,14.65,16.48,1.46,1.51,878.7,892.8,14.1,1.6,13,TIME_EXIT
2021-01-06,2021-01-19,MSTR,MOMENTUM_ACCEL,3,9,3,45.65,2021-02-05,48.06,59.22,4.81,5.27,1441.65,1558.24,116.59,8.09,13,TIME_EXIT
2021-01-07,2021-01-19,MARA,EXPLOSIVE_BREAKOUT,3,10,6,21.24,2021-02-06,22.36,22.35,2.24,1.97,1341.6,1164.35,-177.25,-13.21,12,TIME_EXIT
2021-02-09,2021-02-17,RIOT,EXPLOSIVE_BREAKOUT,3,10,3,37.87,2021-03-11,39.86,77.9,3.99,6.48,1195.8,1914.08,718.28,60.07,8,TAKE_PROFIT
2021-02-08,2021-02-18,MSTR,EXPLOSIVE_BREAKOUT,3,10,1,98.89,2021-03-10,104.1,92.78,10.41,8.56,1041.0,843.01,-197.99,-19.02,10,TIME_EXIT
2021-02-17,2021-02-23,RIOT,EXPLOSIVE_BREAKOUT,3,10,2,74.01,2021-03-19,77.9,48.8,7.79,5.11,1558.0,1006.32,-551.68,-35.41,6,STOP_LOSS
2021-04-13,2021-04-23,NVDA,EXPLOSIVE_BREAKOUT,3,10,10,14.86,2021-05-13,15.64,15.23,1.56,1.48,1564.18,1460.08,-104.1,-6.66,10,TIME_EXIT
2021-04-13,2021-04-23,MSTR,EXPLOSIVE_BREAKOUT,3,10,1,80.61,2021-05-13,84.85,61.3,8.49,6.64,848.54,654.34,-194.2,-22.89,10,TIME_EXIT
