entry_date,exit_date,symbol,strategy,quality,shares,entry_price,exit_price,leveraged_value,exit_value,pnl,pnl_pct,days_held,exit_reason
2023-03-16,2023-03-30,NVDA,TREND_FOLLOW,3,13224.29377454371,25.521211624145508,27.361783981323242,337500.0,361840.2695646228,24340.26956462278,7.211931722851195,14,TIME_EXIT
2023-03-16,2023-03-30,AMD,TREND_FOLLOW,3,1921.5838812847237,96.5999984741211,97.87999725341797,185625.0,188084.625022361,2459.625022360997,1.3250505170968332,14,TIME_EXIT
2023-03-16,2023-03-30,META,TREND_FOLLOW,3,501.25958888541106,203.67440795898438,206.56655883789062,102093.75,103543.46836055513,1449.7183605551254,1.419987374893297,14,TIME_EXIT
2023-03-30,2023-04-05,AMD,TREND_FOLLOW,3,2075.035285150637,97.87999725341797,92.55999755859375,203104.4480112897,192065.26092753882,-11039.187083750876,-5.435226649067407,6,RSI_SELL
2023-03-30,2023-04-13,NVDA,TREND_FOLLOW,3,13496.225787691585,27.361783981323242,26.442495346069336,369280.8145659813,356873.88758053567,-12406.926985445607,-3.359754012682074,14,RSI_SELL
2023-03-30,2023-04-13,META,TREND_FOLLOW,3,540.7818527580505,206.56655883789062,218.9999542236328,111707.44640620933,118431.2009989844,6723.754592775062,6.019074653559816,14,TIME_EXIT
2023-04-06,2023-04-20,PLTR,PULLBACK,3,17356.861435207527,8.09000015258789,8.149999618530273,140417.01165927577,141458.41407582417,1041.4024165484007,0.7416497504414786,14,TIME_EXIT
2023-04-14,2023-04-21,NVDA,PULLBACK,3,5909.515000723288,26.737266540527344,27.09798812866211,158004.27769958318,160135.96733575032,2131.689636167139,1.3491341292798191,7,RSI_SELL
2023-04-13,2023-04-25,META,TREND_FOLLOW,3,1311.7834016301906,218.9999542236328,206.2783660888672,287280.50490833307,270592.536750772,-16687.96815756109,-5.808945567986234,12,RSI_SELL
2023-04-21,2023-04-25,NET,PULLBACK,3,3579.007392295035,62.79999923706055,58.09000015258789,224761.66150556225,207904.53996453178,-16857.121541030472,-7.49999863326927,4,RSI_SELL
